City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,emerald,-23.5333,148.1667,62.1,69,2,3.13,AU,1685051562
127,vadso,70.0744,29.7487,47.28,49,0,10.36,NO,1685051626
128,mount isa,-20.7333,139.5,60.57,41,0,9.22,AU,1685051626
129,kuraymah,18.55,31.85,96.98,13,2,9.98,SD,1685051626
130,ambovombe,-25.1667,46.0833,66.52,73,2,12.66,MG,1685051626
131,la'ie,21.6477,-157.9253,84.16,67,85,8.01,US,1685051627
132,kargopol',61.5071,38.9456,50.83,95,53,4.94,RU,1685051627
133,vanimo,-2.6741,141.3028,78.15,89,99,3.09,PG,1685051627
134,saint-girons,42.9167,1.1667,50.25,90,62,5.79,FR,1685051627
135,loukhi,66.0764,33.0381,43.3,63,0,6.93,RU,1685051628
136,macedo de cavaleiros,41.5382,-6.9611,60.39,66,8,16.98,PT,1685051628
137,celestun,20.8667,-90.4,83.34,66,1,11.79,MX,1685051628
138,muriti,-1.9833,32.9167,74.35,71,67,4.27,TZ,1685051628
139,coquimbo,-29.9533,-71.3436,60.53,88,75,8.05,CL,1685051618
140,safotu,-13.4513,-172.4018,82.08,77,4,12.06,WS,1685051629
141,chyorny yar,48.0624,46.1091,70.48,63,98,0.45,RU,1685051629
142,mermoz boabab,14.7065,-17.4758,77.56,83,0,9.22,SN,1685051629
143,inhambane,-23.865,35.3833,71.24,73,16,12.46,MZ,1685051629
144,shalqar,47.8333,59.6,69.53,30,4,8.01,KZ,1685051629
145,enewetak,11.3474,162.3373,82.56,76,97,15.61,MH,1685051630
146,cambria,35.5641,-121.0808,72.34,81,4,8.01,US,1685051630
147,port lincoln,-34.7333,135.8667,54.32,66,98,12.88,AU,1685051630
148,hasaki,35.7333,140.8333,67.21,62,40,11.39,JP,1685051630
149,invercargill,-46.4,168.35,58.06,67,99,13.35,NZ,1685051630
150,severo-yeniseyskiy,60.3725,93.0408,29.61,95,39,4.03,RU,1685051631
151,yushu,44.8,126.5333,61.45,57,56,19.64,CN,1685051631
152,sakakah,29.9697,40.2064,80.17,20,3,18.95,SA,1685051631
153,sheldon,43.1811,-95.8561,81.01,39,40,18.41,US,1685051631
154,mejit,10.2753,170.8646,82.02,79,100,20.22,MH,1685051631
155,vila franca do campo,37.7167,-25.4333,63.01,83,26,7.23,PT,1685051632
156,beni saf,35.301,-1.3823,62.89,74,0,5.88,DZ,1685051632
157,new plymouth,-39.0667,174.0833,60.8,95,89,4.83,NZ,1685051632
158,bel ombre,-4.6167,55.4167,82.24,69,20,6.91,SC,1685051632
159,turinskaya sloboda,57.6232,64.3858,54.43,75,5,6.33,RU,1685051633
160,trinidad,-14.8333,-64.9,89.58,62,20,4.61,BO,1685051633
161,akjoujt,19.6969,-14.4164,79.29,57,97,18.88,MR,1685051633
162,finale ligure,44.1695,8.3436,68.63,77,8,8.63,IT,1685051633
163,stanley,54.868,-1.6985,55.89,78,0,1.14,GB,1685051633
164,tura,25.5198,90.2201,70.12,92,100,3.15,IN,1685051634
165,estrela,-28.0611,-50.9383,57.43,82,0,3.89,BR,1685051634
166,benguela,-12.5763,13.4055,72.21,86,3,2.51,AO,1685051634
167,pangody,65.85,74.4859,45.99,63,100,12.17,RU,1685051634
168,praia da vitoria,38.7333,-27.0667,64.65,82,40,12.1,PT,1685051634
169,bezhetsk,57.7851,36.6965,52.83,88,3,6.26,RU,1685051635
170,lethem,3.3803,-59.7968,84.25,79,20,9.22,GY,1685051635
171,nar'yan-mar,67.6713,53.087,60.8,87,73,17.11,RU,1685051635
172,ilulissat,69.2167,-51.1,35.62,51,0,4.61,GL,1685051635
173,college,64.8569,-147.8028,72.09,34,75,5.75,US,1685051635
174,dudinka,69.4058,86.1778,33.62,94,93,10.33,RU,1685051636
175,coron,11.9986,120.2043,78.03,88,98,2.77,PH,1685051636
176,endasak,-4.4167,35.5167,56.17,98,25,4.23,TZ,1685051636
177,banjarmasin,-3.3244,114.591,77.14,95,89,2.53,ID,1685051636
178,pacific grove,36.6177,-121.9166,62.28,74,100,11.01,US,1685051636
179,mana,5.6592,-53.7767,79.03,90,100,10.09,GF,1685051637
180,lubao,14.9167,120.55,78.51,89,83,3.47,PH,1685051637
181,haiku-pauwela,20.9219,-156.3051,79.16,65,40,16.11,US,1685051637
182,gizo,-8.103,156.8419,80.58,84,99,11.27,SB,1685051637
183,kone,-21.0595,164.8658,72.32,50,0,3.87,NC,1685051637
184,hastings,50.8552,0.5729,52.79,42,34,15.93,GB,1685051638
185,fukuecho,32.6881,128.8419,67.6,88,55,18.43,JP,1685051638
186,ar ruways,24.1103,52.7306,87.19,50,63,5.26,AE,1685051638
187,sinabang,2.4803,96.3801,79.47,84,96,3.65,ID,1685051638
188,lihue,21.9789,-159.3672,80.19,74,40,17.27,US,1685051639
189,pont rouge,48.8833,-72.0825,62.89,36,68,8.3,CA,1685051639
190,quzhou,28.9594,118.8686,69.62,90,100,4.18,CN,1685051639
191,jayapura,-2.5333,140.7,78.19,90,91,4.23,ID,1685051639
192,sitka,57.0531,-135.33,55.29,88,75,3.44,US,1685051639
193,afaahiti,-17.75,-149.2833,84.07,76,30,9.15,PF,1685051640
194,harstad,68.799,16.5293,38.59,99,100,18.01,NO,1685051640
195,conduaga,8.862,117.4893,78.75,86,87,1.14,PH,1685051640
196,nacozari de garcia,30.3742,-109.6908,88.02,9,100,14.79,MX,1685051640
197,kapit,2.0167,112.9333,73.99,94,99,1.28,MY,1685051640
198,acigne,48.1333,-1.537,58.91,72,0,10.36,FR,1685051641
199,papao,-17.75,-149.55,85.68,73,7,7.23,PF,1685051641
200,chonchi,-42.6128,-73.8092,45.61,89,97,2.86,CL,1685051641
201,saint-joseph,-21.3667,55.6167,69.48,84,100,12.44,RE,1685051349
202,saint-pierre,-21.3393,55.4781,70.57,88,100,5.75,RE,1685051394
203,jimma,7.6667,36.8333,59.13,94,74,0.87,ET,1685051642
